df,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
250,196.161,208.098,268.599,279.05,287.882,295.689,298.039,304.94,311.346,319.227,324.832
300,240.663,253.912,320.397,331.789,341.395,349.874,352.425,359.906,366.844,375.369,381.425
350,285.608,300.064,372.051,384.306,394.626,403.723,406.457,414.474,421.9,431.017,437.488
400,330.903,346.482,423.59,436.649,447.632,457.305,460.211,468.724,476.606,486.274,493.132
450,376.483,393.118,475.035,488.849,500.456,510.67,513.736,522.717,531.026,541.212,548.432
500,422.303,439.936,526.401,540.93,553.127,563.852,567.07,576.493,585.207,595.882,603.446
550,468.328,486.91,577.701,592.909,605.667,616.878,620.241,630.084,639.183,650.324,658.215
600,514.529,534.019,628.943,644.8,658.094,669.769,673.27,683.516,692.982,704.568,712.771
650,560.885,581.245,680.134,696.614,710.421,722.542,726.176,736.807,746.625,758.639,767.141
700,607.38,628.577,731.28,748.359,762.661,775.211,778.972,789.974,800.131,812.556,821.347
750,653.997,676.003,782.386,800.043,814.822,827.785,831.67,843.029,853.514,866.336,875.404
800,700.725,723.513,833.456,851.671,866.911,880.275,884.279,895.984,906.786,919.991,929.329
850,747.554,771.099,884.492,903.249,918.937,932.689,936.808,948.848,959.957,973.534,983.133
900,794.475,818.756,935.499,954.782,970.904,985.032,989.263,1001.63,1013.036,1026.974,1036.826
950,841.48,866.477,986.478,1006.272,1022.816,1037.311,1041.651,1054.334,1066.031,1080.32,1090.418
1000,888.564,914.257,1037.431,1057.724,1074.679,1089.531,1093.977,1106.969,1118.948,1133.579,1143.917
